User Name,Title,Rating,Time,Country,Content
Ankidine Mchindra,Très bonne implication,4,10/19/23,YT,C'est expériences ma aide a régler des problème qui perdurait depuis un moment
Jean-Christophe,Problème en cours de résolution,5,10/11/23,FR,"J'avais un problème et, même si celui-ci n'est pas encore résolu, il a été efficacement prit en charge par la conseille d'Orange Banq"
Christian LAFFORGUE,Mon compte était bloqué et IMPOSSIBLE…,5,10/03/23,FR,Mon compte était bloqué et IMPOSSIBLE de vous joindre au téléphone (le 0143600152) et impossible de régler le problème dans le chat. J'ai envoyé un mail mais je ne m'attendais pas à ce qu'il soit traité rapidement. J'ai été surpris de votre réactivité : votre collègue m'a répondu de suite et après les vérifications d'usage a débloqué mon compte.
Heinrich,Peut-être fermeture ? Dommage,5,10/08/23,RE,"Dommage, qu'à priori, Orange Bank arrête son activité dans quelques mois... c'est une excellente banque en ligne. Aurons nous un basculement simplifié sur une autre banque ? Hello Bank d'après les rumeurs...si c le cas (j'ai un compte chez eux aussi) c'est moins bien..."
dodi Zola,Importance et Considération ( conseiller-client),4,10/11/23,FR,Merci de respecter l’ancienneté de vos clients  et merci pour votre implication à trouver des solutions aux problèmes rencontrer.la prise de considération d'un conseiller envers  son client  est un rapport important à ne pas négliger et qui satisfait.
Gilbert,Une banque en ligne gratuite.,5,10/03/23,FR,Une banque en ligne gratuite.L'application est facile a gerer et aussi propose des methodes simples pour demander de l'argent apres une sortie par exemple avec les amis. Virements gratuits et carte gratuite avec le compte standard. Plus de propositions et d'avantages pour le premium.
Guy Somekh,Conseiller clair et professionnel. Correction d'une incertitude trop long !,4,10/03/23,FR,"Bon traitement, bien expliqué, par le conseiller d'Orangebank.La protection effectuée par Orangebank sur ce qui peut lui apparaitre comme une anomalie est louable et précieux. Mais la répétition de la même erreur interpelle. Et, pire encore et surtout, le temps de traitement inutilement long après avoir répondu à un sms demandant de valider (1) ou pas (2) ne devrait être que de quelques secondes (voire une minute) pas 30 minutes."
Chris,Ex conjoint…,5,09/26/23,FR,"Ayant ouvert mon compte orange bank il y a une semaine, en ouvrant l'application mobile, j'avais accès au compte Groupama de mon ex conjoint (séparés depuis 10 ans) sur lequel j'avais, à priori la procuration (je ne m'en souvenais plus).Ne voyant aucun intérêt à voir ce qu'il fait de son argent je voulais savoir comment enlever le visu sur celui-ci.J'ai eu mes explications pour ne plus le voir"
JJS,Il faut passer le barrage du robot de…,5,10/13/23,FR,"Il faut passer le barrage du robot de chat,  ce qui est parfois kafkaïen ou ubuesque.  Une fois que l'on a affaire à une vraie personne tout s'améliore."
Jerome Jusmet,Facilement joignable très compréhensif…,5,10/18/23,FR,Facilement joignable très compréhensif et a bien calmer mes doutes
Frédéric LOPEZ,"Oui, mais..",4,10/07/23,FR,"J'apprécie toujours la bienveillance de vos opérateurs. C'est votre système d'encaissement de chèque qui est à revoir. Quant à djingo, il ne sert absolument à rien !"
Alexandre Lemoine,Bug sur la page de souscription,5,09/28/23,FR,"Bug sur la page de souscription, impossible de signer le contrat, j'ai eu un conseiller par messagerie très rapidement après avoir dialogué 2 minutes avec un bot. Il a été professionnel, court, concis et efficace, il a débloqué la situation en m'envoyant un lien fonctionnel pour signer le contrat de souscription."
François,Les réponses,5,10/10/23,FR,"Les réponses, même si elles ne sont pas satisfaisantes, ont été données de façon pertinente et efficace"
Jean-Michel CORRE,Impossible d'accéder à mon compte,3,10/10/23,FR,"Bonjour,Ma note serait de 5 si je pouvais utiliser l'appli.Mais je ne peux plus me connecter depuis plusieurs semaines. Ma note actuelle serait de 1. Le message affiché après la saisie du code est ""Désolé ! Le service est momentanément indisponible. Pouvez-vous réessayer un peu plus tard ?"".Je passe par vous car j'ai peut-être une chance d'avoir une réponse du fournisseur.Mon mobile est sous Android 12, l'appli est en version 3.17.0.Comment débloquer la situation ?Je n'accepterai pas qu'Orange prélève de l'argent de mon compte car je ne peux effectuer aucune opération."
ci gi,Je suis très déçu.,1,10/10/23,FR,Je suis très déçu.impossible de débloquer une situation avec le robot.... impossible de récupérer ses identifiants..... impossible de contacter une personne en direct.... aujourd'hui je me retrouve avec des frais de je ne sais quoi car tous les mois on se fait prélever pour inactivité !!!!! obligé d'envoyer un courrier recommandé maintenant............. pour une banque qui va fermer..........
Estelle Briand,Fuyez cette banque en ligne !,1,10/10/23,FR,"Fuyez cette banque en ligne !! Suite à une fraude internet sur mon compte et pour laquelle orange bank m’alerte par sms, je suis débitée de 1350€ frauduleusement et orange bank refuse pendant 6 mois de me rembourser, ils ont cherché tous les prétextes possibles, alors que j’avais une black care et soit disant une assurance fraude incluse … mais heureusement que j’avais gardé les traces de leurs alertes, de mon dépôt de plainte à la gendarmerie … bref 6 mois à ma battre, à devoir saisir le médiateur de justice !!! Et là comme par miracle, sans me prévenir orange bank me rembourse mes 1350€ il y a 2 jours … plus jamais !!!!"
Shahin ABDI,Je déconseille fortement Orange Bank,1,10/10/23,FR,"Je déconseille fortement Orange Bank. Mon compte est bloqué depuis le 15 mai 2023, et ils ne répondent ni au téléphone, ni par e-mail, ni par courriel. C'est une expérience extrêmement décevante, et leur manque de communication fait douter de leur fiabilité. À éviter à tout prix."
FOIN,L'accès à mon compte OrangeBank était…,5,09/08/23,FR,"L'accès à mon compte OrangeBank était indisponible depuis 11/2022. Malgré plusieurs tentatives je ne pouvais plus accéder à mon compte. Ce qui a entraîné des frais de tenue de compte injustifiés par manque d'opérations obligatoires car je ne pouvais plus alimenter le compte, plus d’accès. Tout est résolu aujourd'hui grâce à l'aide en ligne d'un expert via l'application et qui m'a précisé que c'était lié au changement de mobile. C'est reparti..."
Consumer,Blocage APP Orange Bank,5,09/23/23,ES,"Ça faisait deux fois que j’avais bloqué mon code d’accès pour accéder à mon application Orange Bank ! Et donc c’est la deuxième fois que l’équipe Orange Bank m’aide ; la première fois c’était par téléphone et aujourd’hui c’était via leur page pro Facebook ! C’est tellement facile de les contacter en cas de pépin et la prise en charge est rapide , merci à vous ! Merci au conseiller Max 👌🏻"
Stephanie Lefebvre,Que dire a part Parfait rien a redire,5,09/21/23,FR,Interlocuteur très agréable et très professionnel concret précis qui répond à toutes nos demandes. Si tous les interlocuteurs étaient comme ça ça serait un réel bonheur
FREDY,N'ayant pas de smartphone,5,09/30/23,RE,"N'ayant pas de smartphone, j'utilise un émulateur PC pour mes consultations de compte très bien mais un site dédier sur pc serait un super plus."
Romane,Efficacité exemplaire,5,09/15/23,FR,J'étais ennuyée car e n'avais plus accès en visuel mon compte ! Mr Romain m'a patiemment guider et tout est arrangé en même pas 10 minutes et je n'ai pas attendu longtemps a être contacté !! Merci Beaucoup !!!
CAROLE KEMPF,Résolution de problème,5,10/11/23,FR,L'expérience était bonneLa personne était très aimable avenante et chercher le moyen de résoudre le problème ce qu'il a fait
Fabien LAURENT,"Lors d’un contact avec le support Orange Bank, ma demande a été pris en compte",5,10/02/23,FR,"Lors d’un contact avec le support Orange Bank, j’ai été accompagné par le support qui a maîtrisé son sujet."
Alex,Très bon conseils,5,10/10/23,FR,Très bon conseils. Vous avez été très efficace . Mon problème est maintenant résolu à 100%.Bravo !
LISA BOUSSAKHANE,Je  savais que j'avais un mois pour…,5,09/05/23,FR,"Je  savais que j'avais un mois pour obtenir les 50 Euros de bienvenue chez orange bank après l'achat de mon portable chez ORANGE mais  je ne savais pas que l'activation devait se faire par sans contact ou retrait dans une banque autre que Crédit Agricole ou Caisse d'Epargne. Dans mon environnement, le DAB est crédit agricole donc je n'ai pu finaliser l'activation en Mars après plusieurs essais et j'ai perdu les 50 Euros. A ce jour, j'ai activé mon compte et je payer mes factures ORANGE sur ce compte pour bénéficier des avantages."
Renée Regner,En demandant aimablement,5,10/17/23,FR,En demandant aimablement ; Nous sommes toujours bien reçue
noreddine,Arreter les robots !!!!,2,10/07/23,FR,Le passage par le robot est un cauchemar !!!!Non il n'est pas prêt de remplacer le contact humain surtout lorsqu'il est question de relation commerciale.Que de temps perdu donc d'argent avant de pouvoir parler réellement avec un conseiller !
Eric Bentot,"PParfait. Réponse immédiate, claire et sans surprise.",5,09/25/23,FR,"Je me suis connecté. J'ai renseigné ma situation et ma demande. Dans les minutes ma demande a été acceptée. Petit bemol, je n'ai pas de suivi de mon crédit et de mes remboursements par mail. Il serait bien de savoir ou j'en suis chaque mois."
VB,Orange Bank c'est une catastrophe,1,10/04/23,FR,"Orange Bank c'est une catastrophe. Le service clients ne comprend rien, ils vous envoient la carte bancaire à une mauvaise adresse et puis vous harcèlent avec des demandes de factures datées de moins de trois mois et de pièce d'identité à chaque échange par mail. Bien que tous ces justificatifs leur ont déjà été envoyés plusieurs fois.Ou bien ils vous transfèrent vers leur assistant virtuel dans l'application et là c'est encore pire, le robot ne comprend rien et vous rend fou.À éviter, optez plutôt pour une banque classique."
Hagnere,J'avais un soucis de prélèvement,5,10/10/23,FR,"J'avais un soucis de prélèvement, la conseillère m'a très bien expliqué"
martine guinot,Je suis très satisfaite de ma banque…,5,09/19/23,FR,Je suis très satisfaite de ma banque surtout aux niveaux des frais qui sont jusqu'à ce jour les moins couteux. Application sur le portable claire et facile à utiliser pour toutes personnes.
Christian Estarague,virement ponctuel traité trés rapidement,5,08/30/23,TN,l'explication donnée par mon conseiller était trés claireClient chez Groupama banque depuis 2003 en tant qu'ancien salarié groupama actuellement retraité et ayant été toujours trés satisfait de cette banqueb je souhaite de tout coeur qu'orange bank continue son activité aidé par BNP et donc que les négociations en cours aboutissent dans le bon sens.
Ema,i besoin d'une information ou d'une augmentation de découvert temporaire,5,10/02/23,FR,Si besoin d'une information ou d'un service les conseillers sont toujours présents et à votre écoute.
Régis Lebossé,Application très ergonomique,5,09/23/23,FR,Application très ergonomique. Chaque paiement par carte est immédiatement notifié sur l'application. Nombreuses actions possible.Je suis très satisfait de cette banque en ligne.
AntoMarte,Aucune réactivité,1,10/10/23,FR,"La procédure de fermeture de compte, en dépit de l'envoi de toutes les pièces justificatives, dure depuis trois mois, sans aucune nouvelle en dépit de relance.Fatiguant."
Client,ChatBot nul/ experte extra,3,10/12/23,FR,Sylvie sur le chat expert a été superSeulement j'ai tourné en rond plus de 20 minutes pour réussir à avoir le chat service client avec vos chatbot qui ne comprend aucune requête
Laetitia Debourg,La personne que j'ai eue au téléphone a…,5,10/06/23,FR,La personne que j'ai eue au téléphone a été très gentille et à l'écoute et m'a très bien renseignée
Wilfried NOUBISSIE,J'ai eu à acheter mon téléphone avec un…,5,10/01/23,FR,J'ai eu à acheter mon téléphone avec un prêt orange Banque et ça été d'une facilité à n'en plus parler.
Ludovic Zerbola,Très bonne expérience,5,10/10/23,FR,Je suis tombé sur une jeune fille tout à fait souriante et agréable et très compétente qui s'est donné un mal fou pour pouvoir résoudre mon problème (qui était en réalité de ma faute) et malgré tout elle a toujours garder le sourire ça fait du bien d'avoir des gens comme ça dommage que je ne me souvienne pas de son prénom car cette jeune fille mériterait que l'on la félicite.
Claude,La clôture de mon compte Orange Bank…,4,09/20/23,FR,"La clôture de mon compte Orange Bank semble effective mais je ne sais toujours pas à quoi servait ce compte, comment on s'en servait, et j'ai cotisé à fonds perdus j'ai payé pour un abonnement qui ne m'a jamais servi!)"
Tiah Planesse,Mon compte étant clôturé depuis le 7,1,10/03/23,RE,Mon compte étant clôturé depuis le 7 juillet je suis toujours en attente de remboursement de la somme qui se trouve sur le compte. Plusieurs appels effectués personne ne peut répondre a ma demande. Cela devient urgent ce remboursement. Je trouver cela sidérant de ne pas avoir de nouvelle depuis ce jour
Robert,Ouverture de compte,5,09/22/23,FR,"J ai voulu reprendre une ouverture de compte chez Orange bank mais celle ci a échoué, mais le conseiller que j'ai eu au téléphone très rapidement a su répondre à ma demande et a résolu le problème immédiatement, bravo."
Jean BIJU,Efficacité,5,10/13/23,FR,"Efficacité, rapidité et amabilité sont les adjectifs qui conviennent pour qualifier la personne avec laquelle j'ai correspondu pour un petit litige sur un virement."
Narbonne,Pas de soucis rencontrés,5,09/26/23,FR,"Pas de soucis rencontrés. J'utilise Orange Bank comme une tirelire, j'ai l'impression de me faire un cadeau."
georges marie Grondin,Incident de paiement de paiement…,4,09/06/23,RE,"J'ai eu quelques soucis de paiement sans contact et avec le code, lors de mes vacances en France : message carte invalide alors que le compte était approvisionné. Heureusement que mon épouse était avec moi avec sa carte.C'est redevenu normal par la suite.Mis à part ce incident, je suis très satisfait de ma carte de paiement orange, notamment pour les paiements sur internet."
Isabelle Lebon,Auparavant cliente chez groupama,1,09/28/23,FR,"Auparavant cliente chez groupama, je n'avais jamais eu de souci.L application beug sans cesse.J'ai effectué une demande de chéquier qui m'a été refusée alors que je ne dépassait pas mon découvert autorisé.Je pense à changer de banque prochainement."
Jeff,Extorsion de fonds assumée,1,10/11/23,FR,"J’ai demandé la clôture de mon compte bancaire Orange Bank et le transfert des fonds restants vers un autre compte bancaire.Cela fait plusieurs mois que mon compte est clôturé et je n’ai toujours pas reçu l’argent. J’ai essayé de les contacter à maintes reprises : impossible d’avoir quelqu’un car ils n’ont pas de numéro de téléphone, juste une adresse e-mail et ils ne répondent pas aux mails (incroyable). Aujourd’hui j’ai réussi à avoir un conseiller sur leur chat en ligne, qui me confirme leur refus de me transférer l’argent. Je lui dis que c’est de l’extorsion de fonds. Sa réponse ? « Oui absolument. Vous avez demandé de clôturer votre compte, pas de récupérer l’argent ». Oui oui véridique ! J’ai bien sûr gardé des preuves de ces échanges. Orange Bank assume ouvertement d’extorquer ses clients.Je conseille à toutes les personnes de mon entourage de fuir cette entreprise comme la peste. FUYEZ !"
Alain Négraud,Ecoute de la conseillère,5,10/04/23,FR,"Ecoute de la conseillère, rapidité d'exécution de la demande, réponse complète à la question"
jpga,L'humain est très bien et très…,4,09/25/23,FR,L'humain est très bien et très compétent (via le chat)mais arrivée par l'appli. à obtenir un humain alors que l'appli ne s'est pas vous répondre => vraie galère cette appli. smartphone
Joël Dufrene,Super banque,5,09/05/23,FR,"SVP  nous laissez pas tomber vous êtes une bonne banque, pas question d'aller chez hello bank beaucoup d'avis négatifs."
Ritrovato Raphaël,Interlocutrice géniale,5,10/06/23,FR,"Interlocutrice géniale, rapide , efficace et doter d'une gentillesse sans égale encore merci à elle ."
Akim Ariouat,Akim,5,10/09/23,FR,Bonjour très bonne application rien n'a dire         Cordialement
cirkē,La pire des banque,1,09/28/23,FR,"La pire banque avec la poste mais au moins la poste on peut aller au guichet, ils prennent leurs clients en otage pour n’importe quel virement et il faudrait attendre leur appel téléphonique à leur bon plaisir pour valider un virementEn plus il vont fermer en 2024 sans avertir leurs clients longtemps à l’avance Fuyez !"
Pascal Aquino,"patience /courtoisie ,investiture à ma demande éfficacitée",5,09/29/23,FR,"L'expert Chokri à particulièrement démontré son intérêt à ma demande , à su agir face à mon cas qui était pas évident , à pris soin de m'informer de l'évolution de la situation , c est effectivement un expert je le confirme un grand MERCI à lui !"
Ryan,Compte bancaire cloturé juste après son…,1,09/21/23,FR,"Compte bancaire cloturé juste après son ouverture sous 8 jours et sans aucun motif avec 820€ restants sur mon compte. Accès à l’espace client désactivés instantanément donc impossible de récupérer l’argent restant, service client inexistant ou qui fait le mort…ID Client : 5 7 1 03 578Merci de prendre contact avec moi au téléphone ou au plus vite. Merci"
Laure Han,Orange bank est simple à utiliser,5,09/22/23,FR,"Orange bank est simple à utiliser, efficace et rapide (dépenses sur le téléphone en temps réel)"
Nesrine,Merci pour votre accueil,5,09/08/23,FR,Merci pour votre accueil. J'ai toujours été bien accueillie par téléphone et on m'a toujours aider à trouver une solution à mon problème.
CARNA XXL,Fraude,3,09/25/23,FR,"J'ai fait l'objet d'une fraude à hauteur de 69,90 eur pour le compte d'Amazon prime auprès duquel je ne suis et n'ai jamais été client, que vos services considère comme différent commercial.. vous avez accès à mon compte, vérifiez donc si je suis ou ai été client chez eux.."
Juliette F,Service client à 💩 - 10 mois de galere,1,10/12/23,FR,"Je ne pensais jamais écrire un commentaire comme ça un jour mais : Orange Bank c’est vraiment de la grosse m****… Pourtant je fais leurs louanges depuis 2017, date de création de mon compte chez eux, mais là c’est trop…Un service client déplorable. J’ai dû faire appel à une médiatrice parce que cela fait 10 mois qu’on refuse de m’envoyer un nouveau carnet de chèque (selon la banque j’en aurai reçu il y a de cela plusieurs mois… première nouvelle!!) via Djingo, puis via des conseillers au téléphone qui ont des infos erronées sur mon compte (je suis apparemment souvent à découvert: tu m’en diras tant…). Et je reçois ce matin dans ma boîte, un courrier de 💩 ne s’excusant même pas que j’ai dû faire appel à qqn d’extérieur et donc ne pas avoir traité mon problème en interne, m’expliquant comment fonctionnait le tchat (merci mais depuis 2017 j’ai eu le temps de bien comprendre) et leurs conditions générales qui leur permettent de se cacher derrière des « l’obtention d’un chéquier n’est pas automatique et reste à la discrétion de la banque ». Mais vous me prenez pour une cruche ? Qu’est ce qui vous permet de me refuser un droit que j’ai en tant que cliente de commander un chéquier à mon nom surtout quand je n’en ai plus depuis plus décembre 2022 ? Et aucun dédommagement pécuniaire ni de vraies excuses? 10 mois à envoyer des mails, des relances, des demandes via le tchat, via votre webmaster, les conseillers au téléphone (dont une, qui elle a vérifié les infos et à bien confirmé qu’il y avait un problème de leur côté et que je n’étais pas devenue folle a croire qu’il m’avait envoyé un chéquier fantôme des mois auparavant, et que je n’étais jamais à découvert…)Franchement c’est honteux de traiter vos clients de la sorte, encore plus quand ce sont des clients fidèles qui sont là depuis vos débuts… Votre manque de considération me sidère."
sylvie au,je mets 2 pas a cause du collaborateur…,2,09/26/23,FR,"je mets 2 pas a cause du collaborateur qui repond mais à cause de djingo qui rend difficile de vous joindre et encore pire au telephone ou ça raccroche carrémentA REVOIR, il faut qu on puisse vous joindre facilement et ce n'est pas le cas Donc 0/5 à Djingo et au telephoneet 5/5 au collaborateur pour le traitement"
Marylin Arndt_Gmail,Un avis global,4,09/29/23,FR,Les réponses donnees par le robot sont compactes et bien documentées. Cependant il ne prend pas en compte tous les mots.
didier vasseur,Service client très agréable,4,09/01/23,FR,"J'ai une bonne expérience dès le départ avec l'envoi de ma carte bancaire,suite à cela j'ai eu une conseillère au téléphone qui m'a très bien orienté et très bien aidé et j'ai très apprécié...."
Franck Orange,Leur accueil téléphonique,4,09/27/23,FR,"Appel Téléphonique. Décroché rapide, numéro non surtaxé, conseiller efficace . Prise en charge rapide de ma demande."
Denver Ramin,Django ne pouvant pas régler mon…,4,08/30/23,FR,Django ne pouvant pas régler mon problème j'ai dû insister pour avoir un conseiller mais une fois celui-ci présent il m'a expliquer les démarche que j'avais à suivre très clairement
Renaudin,simple d utilisation,5,09/25/23,FR,"simple d utilisation, solde en temps réel, virements pratiques et règlements simples également"
ken ange,Suite à mon portable HS,5,09/01/23,FR,"Suite à mon portable HS, le service client physique à put prendre en compte mon problème.J'ai changé d'interlocuteur et mon problème à été résolu.Je suis satisfait."
Alagna Fabbio,La clarté de la conversation,5,10/16/23,FR,
Shepshep Du,Perfect,5,09/24/23,FR,L'appli a une interface parfaite (simple et acceuillante) et le prix est raisonnable
GUIGNÉ Gloria,Malgré un non découvert avant ma mise…,4,08/30/23,FR,Malgré un non découvert avant ma mise en surendettement financière le relationnel reste constructiv.Mes demandes sont prise en compte.
Abdelkrim Bargach,Cette banque est à fuire elle est…,1,09/15/23,FR,Cette banque est à fuire elle est incapable de faire un virement banque de plus 1000€ sans créer des situations problématique….  Une fois votre argent dans cette banque vous aurait du mal à le récupérer orientez vous vers d’autre banque connu! Cela veux juste dire que vous avez pas les fond suffisant que l’argent est ailleurs… aucune banque ne pose autant de problème
Caroline Riche,Merci pr le service  conseils et…,5,09/07/23,FR,Merci pr le service  conseils et empathie envers moi et je n'en doute pas envers les clients plus généralement cordialement
F Duf,Appli très simple d'utilisation,5,09/28/23,FR,Appli très simple d'utilisation même pour une personne âgée.
patricia wills,Beaucoup de difficultés pour joindre la…,5,09/07/23,FR,Beaucoup de difficultés pour joindre la bonne personne mais elle a trouvé la solution à mon problème
Christophe,"Bonne banque, bonne appli",5,09/05/23,FR,"Rien à dire, orange bank offre tous les services d'une banque traditionnel, un léger détail, pas de conseillé juste un bot informatique qui répond plutôt bien mais limité dans ses réponses, un lien pour un conseillé réel serait bienvenue, les frais sont très raisonnable, les virements immédiats sont appréciables."
alexio,orange bank la banque la plus nul des banques,1,09/13/23,FR,orange bank la banque la plus incompétente j ai été victime de fraude à la carte et la réponse est que c est moi qui est accepté les paiements hors à partir de 23h minuit je suis au lit et des paiements ont été fait sur mon compte avec soit disant mon accord mais la blague des qu il y a un soucis orange bank ne fait rien pour protéger les clients à fuir!!!!! n en parlons pas de django nul nul nul
Mickael Berg,J’ai déposé un chèque le jeudi… 2…,1,09/19/23,FR,J’ai déposé un chèque le jeudi… 2 semaine plus tard toujours rien… j’appelle 50 fois le service client pour qu’on me dise que le chèque n’as pas encore été scanner…. Ça fait 3 ans que je suis chez orange bank et je n’ai jamais vécu de tel attentes dans d’autres banque qui sont dites « pire »
Piaoling,Efficace,5,09/04/23,FR,"Efficace, il faut juste être patient et demander un expert quand le problème est un peu complexe"
Philippe patricia,C'est facile d'utilisation si nous…,4,08/31/23,FR,C'est facile d'utilisation si nous n'avons pas oublié les codes d'accès et si nous n'avons pas de question . Car la messagerie est complexe
ProsperMM,Rassuré,4,09/02/23,FR,"Très bien conçue l'application, du job de vrais pro. !Attente client que je suis : Créer points dépôt en espèces rapidement et ce sera parfait !"
Wirig,Cette banque ORANGE BANK Montreuil se…,1,10/07/23,FR,Cette banque ORANGE BANK Montreuil se permet d'aller faire des saisies frauduleuses de somme dans les comptes des clients de la LCL ce qui met arrivé     le 13.09.2023  300€le 14.09.2023  300€Dès lundi 14 heures une plainte sera déposé
ASSURANCE BELLYSMA,impossible de les contacter par…,1,09/29/23,FR,"impossible de les contacter par téléphoneest-ce normal ?la réponse est encore mieux, puisqu'il nous est confirmé qu'il est impossible de les joindre par téléphone  sauf ""client premium"".Je pense qu'on oublie ce que c'est qu'un client"
Cosmin C.S.i,orangebank se *ma…,5,09/01/23,FR,orangebank se *ma préféré...l'application  et semple merci pour m'avoir aide pour debloquer le code*
Vivelamour,Fuyez fuyez cette banque,1,09/25/23,FR,Fuyez fuyez cette banque . Je pense que ce sont des mafieux . Depuis des mois ils ont clôturé mon compte mais pour rembourser mon solde il faut que le ciel et la terre se touche . J’ai envoyé plusieurs mails dans lesquels j’ai expliqué ma situation sur le fait de ne pas vouloir recevoir un chèque de banque . J’ai discuté avec Léa sur messenger le 19/09/23 elle m’as fait comprendre que je devrait faire une lettre manuscrite datée et signée de désistement pour un chèque . Chose faite et depuis jusqu’à aujourd’hui aucune nouvelle d’eux . J’ai l’impression qu’il faut les tirer les vers du nez . Ils ont mes 1000€ et ils ne s’empressent même pas pour régler cela et j’ai affaire à une mafia mais je me laisserais pas faire
Leclerc,aucun soucis avec cette banque,5,10/08/23,FR,"aucun soucis avec cette banque, une des moins chères du marche et une écoute client au top"
Olivier,L'experte a été parfaite,5,09/19/23,FR,"L'expert, Stéphanie a su répondre à ma demande rapidement et parfaitement malgré une erreur de ma part."
Patrick Coiffard,OB déjà là banque du futur,5,08/30/23,FR,Du répondant aux questions .De la réactivité Des services efficaces Une application super efficace Bref que du bon
Catherine ,Assistance en ligne,5,10/11/23,FR,"Rapide, clair et efficace"
AMICHIA Aimé,Alimenter ma carte pour un achat urgent,5,09/01/23,FR,"Je devais faire un paiement pour mon site internet. Il fallait à tout prix alimenter mon compte orange, ce que j'ai réussi à faire grace à ma carte en moins de deux minutes"
Mouzaoui,J'apprécie la rapidité des virements…,5,09/27/23,FR,J'apprécie la rapidité des virements entre moi et mes enfants
Client,Demande de résiliation,5,09/14/23,FR,"Demande de résiliation prise en compte fcilement sans forcer le client à garder sa souscription, respect de la rétractation d'ahésion"
Magali Carbonell,Contact difficile à établir mais au top,4,09/09/23,FR,"Un peu difficile de trouver le chemin pour avec un contact avec un humain. Mais une fois le contact établit, la conseillère a été très aimable, facilitante."
Julie Lievore,3 semaines que orange bank a clôturer…,1,09/21/23,FR,"3 semaines que orange bank a clôturer mon compte en banque sans me prévenir 3 semaines que j essai de récupérer mon argent... en vain...chaque jour un conseiller different qui me raconte ce qu il veut, puisque ils ne comprennent rien au dossier  ... dommage qu il n y ai pas 0 étoiles."
Alkintor Frantz,Sans Frontières,4,09/12/23,MQ,Vous remaquable vous m'aviez changer la vie Service clients parfaitExpert exceptionnel merci
Lena El Malki,Honteux - a fuir,1,09/05/23,FR,Le service client d’Orange bank est inexistant ! Il est impossible de joindre le moindre être humain en ligne ou même par téléphone. N’ayant pas de point de vente physique ils vous renvoient systématiquement sur l’appli ou un robot dialogue avec vous.
