id,User Name,Title,Rating,Time,Country,Content,emotion_label,emotion_prob
23,François,Les réponses,5,10/10/2023,France,"Les réponses, même si elles ne sont pas satisfaisantes, ont été données de façon pertinente et efficace",positif,51.97
24,Jean-Michel CORRE,Impossible d'accéder à mon compte,3,10/10/2023,France,"Bonjour,Ma note serait de 5 si je pouvais utiliser l'appli.Mais je ne peux plus me connecter depuis plusieurs semaines. Ma note actuelle serait de 1. Le message affiché après la saisie du code est ""Désolé ! Le service est momentanément indisponible. Pouvez-vous réessayer un peu plus tard ?"".Je passe par vous car j'ai peut-être une chance d'avoir une réponse du fournisseur.Mon mobile est sous Android 12, l'appli est en version 3.17.0.Comment débloquer la situation ?Je n'accepterai pas qu'Orange prélève de l'argent de mon compte car je ne peux effectuer aucune opération.",négatif,43.35
25,ci gi,Je suis très déçu.,1,10/10/2023,France,Je suis très déçu.impossible de débloquer une situation avec le robot.... impossible de récupérer ses identifiants..... impossible de contacter une personne en direct.... aujourd'hui je me retrouve avec des frais de je ne sais quoi car tous les mois on se fait prélever pour inactivité !!!!! obligé d'envoyer un courrier recommandé maintenant............. pour une banque qui va fermer..........,très négatif,87.72
26,Estelle Briand,Fuyez cette banque en ligne !,1,10/10/2023,France,"Fuyez cette banque en ligne !! Suite à une fraude internet sur mon compte et pour laquelle orange bank m’alerte par sms, je suis débitée de 1350€ frauduleusement et orange bank refuse pendant 6 mois de me rembourser, ils ont cherché tous les prétextes possibles, alors que j’avais une black care et soit disant une assurance fraude incluse … mais heureusement que j’avais gardé les traces de leurs alertes, de mon dépôt de plainte à la gendarmerie … bref 6 mois à ma battre, à devoir saisir le médiateur de justice !!! Et là comme par miracle, sans me prévenir orange bank me rembourse mes 1350€ il y a 2 jours … plus jamais !!!!",très négatif,89.29
27,Shahin ABDI,Je déconseille fortement Orange Bank,1,10/10/2023,France,"Je déconseille fortement Orange Bank. Mon compte est bloqué depuis le 15 mai 2023, et ils ne répondent ni au téléphone, ni par e-mail, ni par courriel. C'est une expérience extrêmement décevante, et leur manque de communication fait douter de leur fiabilité. À éviter à tout prix.",très négatif,96.42
28,FOIN,L'accès à mon compte OrangeBank était…,5,08/09/2023,France,"L'accès à mon compte OrangeBank était indisponible depuis 11/2022. Malgré plusieurs tentatives je ne pouvais plus accéder à mon compte. Ce qui a entraîné des frais de tenue de compte injustifiés par manque d'opérations obligatoires car je ne pouvais plus alimenter le compte, plus d’accès. Tout est résolu aujourd'hui grâce à l'aide en ligne d'un expert via l'application et qui m'a précisé que c'était lié au changement de mobile. C'est reparti...",négatif,36.0
29,Consumer,Blocage APP Orange Bank,5,23/09/2023,Espagne,"Ça faisait deux fois que j’avais bloqué mon code d’accès pour accéder à mon application Orange Bank ! Et donc c’est la deuxième fois que l’équipe Orange Bank m’aide ; la première fois c’était par téléphone et aujourd’hui c’était via leur page pro Facebook ! C’est tellement facile de les contacter en cas de pépin et la prise en charge est rapide , merci à vous ! Merci au conseiller Max 👌🏻",très positif,76.92
30,Stephanie Lefebvre,Que dire a part Parfait rien a redire,5,21/09/2023,France,Interlocuteur très agréable et très professionnel concret précis qui répond à toutes nos demandes. Si tous les interlocuteurs étaient comme ça ça serait un réel bonheur,très positif,76.0
31,FREDY,N'ayant pas de smartphone,5,30/09/2023,Réunion,"N'ayant pas de smartphone, j'utilise un émulateur PC pour mes consultations de compte très bien mais un site dédier sur pc serait un super plus.",positif,52.48
32,Romane,Efficacité exemplaire,5,15/09/2023,France,J'étais ennuyée car e n'avais plus accès en visuel mon compte ! Mr Romain m'a patiemment guider et tout est arrangé en même pas 10 minutes et je n'ai pas attendu longtemps a être contacté !! Merci Beaucoup !!!,très positif,44.36
33,CAROLE KEMPF,Résolution de problème,5,11/10/2023,France,L'expérience était bonneLa personne était très aimable avenante et chercher le moyen de résoudre le problème ce qu'il a fait,positif,40.41
34,Fabien LAURENT,"Lors d’un contact avec le support Orange Bank, ma demande a été pris en compte",5,02/10/2023,France,"Lors d’un contact avec le support Orange Bank, j’ai été accompagné par le support qui a maîtrisé son sujet.",positif,44.38
35,Alex,Très bon conseils,5,10/10/2023,France,Très bon conseils. Vous avez été très efficace . Mon problème est maintenant résolu à 100%.Bravo !,très positif,80.73
36,LISA BOUSSAKHANE,Je  savais que j'avais un mois pour…,5,05/09/2023,France,"Je  savais que j'avais un mois pour obtenir les 50 Euros de bienvenue chez orange bank après l'achat de mon portable chez ORANGE mais  je ne savais pas que l'activation devait se faire par sans contact ou retrait dans une banque autre que Crédit Agricole ou Caisse d'Epargne. Dans mon environnement, le DAB est crédit agricole donc je n'ai pu finaliser l'activation en Mars après plusieurs essais et j'ai perdu les 50 Euros. A ce jour, j'ai activé mon compte et je payer mes factures ORANGE sur ce compte pour bénéficier des avantages.",très négatif,49.7
37,Renée Regner,En demandant aimablement,5,17/10/2023,France,En demandant aimablement ; Nous sommes toujours bien reçue,très positif,49.75
38,noreddine,Arreter les robots !!!!,2,07/10/2023,France,Le passage par le robot est un cauchemar !!!!Non il n'est pas prêt de remplacer le contact humain surtout lorsqu'il est question de relation commerciale.Que de temps perdu donc d'argent avant de pouvoir parler réellement avec un conseiller !,très négatif,67.89
39,Eric Bentot,"PParfait. Réponse immédiate, claire et sans surprise.",5,25/09/2023,France,"Je me suis connecté. J'ai renseigné ma situation et ma demande. Dans les minutes ma demande a été acceptée. Petit bemol, je n'ai pas de suivi de mon crédit et de mes remboursements par mail. Il serait bien de savoir ou j'en suis chaque mois.",positif,53.6
40,VB,Orange Bank c'est une catastrophe,1,04/10/2023,France,"Orange Bank c'est une catastrophe. Le service clients ne comprend rien, ils vous envoient la carte bancaire à une mauvaise adresse et puis vous harcèlent avec des demandes de factures datées de moins de trois mois et de pièce d'identité à chaque échange par mail. Bien que tous ces justificatifs leur ont déjà été envoyés plusieurs fois.Ou bien ils vous transfèrent vers leur assistant virtuel dans l'application et là c'est encore pire, le robot ne comprend rien et vous rend fou.À éviter, optez plutôt pour une banque classique.",très négatif,94.94
41,Hagnere,J'avais un soucis de prélèvement,5,10/10/2023,France,"J'avais un soucis de prélèvement, la conseillère m'a très bien expliqué",positif,51.85
42,martine guinot,Je suis très satisfaite de ma banque…,5,19/09/2023,France,Je suis très satisfaite de ma banque surtout aux niveaux des frais qui sont jusqu'à ce jour les moins couteux. Application sur le portable claire et facile à utiliser pour toutes personnes.,très positif,70.19
43,Christian Estarague,virement ponctuel traité trés rapidement,5,30/08/2023,Tunisie,l'explication donnée par mon conseiller était trés claireClient chez Groupama banque depuis 2003 en tant qu'ancien salarié groupama actuellement retraité et ayant été toujours trés satisfait de cette banqueb je souhaite de tout coeur qu'orange bank continue son activité aidé par BNP et donc que les négociations en cours aboutissent dans le bon sens.,très positif,61.8
44,Ema,i besoin d'une information ou d'une augmentation de découvert temporaire,5,02/10/2023,France,Si besoin d'une information ou d'un service les conseillers sont toujours présents et à votre écoute.,très positif,44.86
45,Régis Lebossé,Application très ergonomique,5,23/09/2023,France,Application très ergonomique. Chaque paiement par carte est immédiatement notifié sur l'application. Nombreuses actions possible.Je suis très satisfait de cette banque en ligne.,très positif,79.5
46,AntoMarte,Aucune réactivité,1,10/10/2023,France,"La procédure de fermeture de compte, en dépit de l'envoi de toutes les pièces justificatives, dure depuis trois mois, sans aucune nouvelle en dépit de relance.Fatiguant.",très négatif,69.14
47,Client,ChatBot nul/ experte extra,3,12/10/2023,France,Sylvie sur le chat expert a été superSeulement j'ai tourné en rond plus de 20 minutes pour réussir à avoir le chat service client avec vos chatbot qui ne comprend aucune requête,très négatif,52.73
48,Laetitia Debourg,La personne que j'ai eue au téléphone a…,5,06/10/2023,France,La personne que j'ai eue au téléphone a été très gentille et à l'écoute et m'a très bien renseignée,très positif,51.24
49,Wilfried NOUBISSIE,J'ai eu à acheter mon téléphone avec un…,5,01/10/2023,France,J'ai eu à acheter mon téléphone avec un prêt orange Banque et ça été d'une facilité à n'en plus parler.,très positif,68.61
50,Ludovic Zerbola,Très bonne expérience,5,10/10/2023,France,Je suis tombé sur une jeune fille tout à fait souriante et agréable et très compétente qui s'est donné un mal fou pour pouvoir résoudre mon problème (qui était en réalité de ma faute) et malgré tout elle a toujours garder le sourire ça fait du bien d'avoir des gens comme ça dommage que je ne me souvienne pas de son prénom car cette jeune fille mériterait que l'on la félicite.,positif,51.21
51,Claude,La clôture de mon compte Orange Bank…,4,20/09/2023,France,"La clôture de mon compte Orange Bank semble effective mais je ne sais toujours pas à quoi servait ce compte, comment on s'en servait, et j'ai cotisé à fonds perdus j'ai payé pour un abonnement qui ne m'a jamais servi!)",très négatif,44.99
52,Tiah Planesse,Mon compte étant clôturé depuis le 7,1,03/10/2023,Réunion,Mon compte étant clôturé depuis le 7 juillet je suis toujours en attente de remboursement de la somme qui se trouve sur le compte. Plusieurs appels effectués personne ne peut répondre a ma demande. Cela devient urgent ce remboursement. Je trouver cela sidérant de ne pas avoir de nouvelle depuis ce jour,très négatif,90.45
53,Robert,Ouverture de compte,5,22/09/2023,France,"J ai voulu reprendre une ouverture de compte chez Orange bank mais celle ci a échoué, mais le conseiller que j'ai eu au téléphone très rapidement a su répondre à ma demande et a résolu le problème immédiatement, bravo.",positif,47.55
54,Jean BIJU,Efficacité,5,13/10/2023,France,"Efficacité, rapidité et amabilité sont les adjectifs qui conviennent pour qualifier la personne avec laquelle j'ai correspondu pour un petit litige sur un virement.",positif,48.28
55,Narbonne,Pas de soucis rencontrés,5,26/09/2023,France,"Pas de soucis rencontrés. J'utilise Orange Bank comme une tirelire, j'ai l'impression de me faire un cadeau.",très positif,55.15
56,georges marie Grondin,Incident de paiement de paiement…,4,06/09/2023,Réunion,"J'ai eu quelques soucis de paiement sans contact et avec le code, lors de mes vacances en France : message carte invalide alors que le compte était approvisionné. Heureusement que mon épouse était avec moi avec sa carte.C'est redevenu normal par la suite.Mis à part ce incident, je suis très satisfait de ma carte de paiement orange, notamment pour les paiements sur internet.",positif,68.03
57,Isabelle Lebon,Auparavant cliente chez groupama,1,28/09/2023,France,"Auparavant cliente chez groupama, je n'avais jamais eu de souci.L application beug sans cesse.J'ai effectué une demande de chéquier qui m'a été refusée alors que je ne dépassait pas mon découvert autorisé.Je pense à changer de banque prochainement.",négatif,43.38
58,Jeff,Extorsion de fonds assumée,1,11/10/2023,France,"J’ai demandé la clôture de mon compte bancaire Orange Bank et le transfert des fonds restants vers un autre compte bancaire.Cela fait plusieurs mois que mon compte est clôturé et je n’ai toujours pas reçu l’argent. J’ai essayé de les contacter à maintes reprises : impossible d’avoir quelqu’un car ils n’ont pas de numéro de téléphone, juste une adresse e-mail et ils ne répondent pas aux mails (incroyable). Aujourd’hui j’ai réussi à avoir un conseiller sur leur chat en ligne, qui me confirme leur refus de me transférer l’argent. Je lui dis que c’est de l’extorsion de fonds. Sa réponse ? « Oui absolument. Vous avez demandé de clôturer votre compte, pas de récupérer l’argent ». Oui oui véridique ! J’ai bien sûr gardé des preuves de ces échanges. Orange Bank assume ouvertement d’extorquer ses clients.Je conseille à toutes les personnes de mon entourage de fuir cette entreprise comme la peste. FUYEZ !",très négatif,91.33
59,Alain Négraud,Ecoute de la conseillère,5,04/10/2023,France,"Ecoute de la conseillère, rapidité d'exécution de la demande, réponse complète à la question",très positif,61.9
60,jpga,L'humain est très bien et très…,4,25/09/2023,France,L'humain est très bien et très compétent (via le chat)mais arrivée par l'appli. à obtenir un humain alors que l'appli ne s'est pas vous répondre => vraie galère cette appli. smartphone,négatif,44.86
61,Joël Dufrene,Super banque,5,05/09/2023,France,"SVP  nous laissez pas tomber vous êtes une bonne banque, pas question d'aller chez hello bank beaucoup d'avis négatifs.",très négatif,72.39
62,Ritrovato Raphaël,Interlocutrice géniale,5,06/10/2023,France,"Interlocutrice géniale, rapide , efficace et doter d'une gentillesse sans égale encore merci à elle .",très positif,82.19
63,Akim Ariouat,Akim,5,09/10/2023,France,Bonjour très bonne application rien n'a dire         Cordialement,très positif,61.95
64,cirkē,La pire des banque,1,28/09/2023,France,"La pire banque avec la poste mais au moins la poste on peut aller au guichet, ils prennent leurs clients en otage pour n’importe quel virement et il faudrait attendre leur appel téléphonique à leur bon plaisir pour valider un virementEn plus il vont fermer en 2024 sans avertir leurs clients longtemps à l’avance Fuyez !",très négatif,93.09
65,Pascal Aquino,"patience /courtoisie ,investiture à ma demande éfficacitée",5,29/09/2023,France,"L'expert Chokri à particulièrement démontré son intérêt à ma demande , à su agir face à mon cas qui était pas évident , à pris soin de m'informer de l'évolution de la situation , c est effectivement un expert je le confirme un grand MERCI à lui !",très positif,72.22
66,Ryan,Compte bancaire cloturé juste après son…,1,21/09/2023,France,"Compte bancaire cloturé juste après son ouverture sous 8 jours et sans aucun motif avec 820€ restants sur mon compte. Accès à l’espace client désactivés instantanément donc impossible de récupérer l’argent restant, service client inexistant ou qui fait le mort…ID Client : 5 7 1 03 578Merci de prendre contact avec moi au téléphone ou au plus vite. Merci",très négatif,90.0
67,Laure Han,Orange bank est simple à utiliser,5,22/09/2023,France,"Orange bank est simple à utiliser, efficace et rapide (dépenses sur le téléphone en temps réel)",très positif,64.84
68,Nesrine,Merci pour votre accueil,5,08/09/2023,France,Merci pour votre accueil. J'ai toujours été bien accueillie par téléphone et on m'a toujours aider à trouver une solution à mon problème.,très positif,57.92
69,CARNA XXL,Fraude,3,25/09/2023,France,"J'ai fait l'objet d'une fraude à hauteur de 69,90 eur pour le compte d'Amazon prime auprès duquel je ne suis et n'ai jamais été client, que vos services considère comme différent commercial.. vous avez accès à mon compte, vérifiez donc si je suis ou ai été client chez eux..",très négatif,79.45
70,Juliette F,Service client à 💩 - 10 mois de galere,1,12/10/2023,France,"Je ne pensais jamais écrire un commentaire comme ça un jour mais : Orange Bank c’est vraiment de la grosse m****… Pourtant je fais leurs louanges depuis 2017, date de création de mon compte chez eux, mais là c’est trop…Un service client déplorable. J’ai dû faire appel à une médiatrice parce que cela fait 10 mois qu’on refuse de m’envoyer un nouveau carnet de chèque (selon la banque j’en aurai reçu il y a de cela plusieurs mois… première nouvelle!!) via Djingo, puis via des conseillers au téléphone qui ont des infos erronées sur mon compte (je suis apparemment souvent à découvert: tu m’en diras tant…). Et je reçois ce matin dans ma boîte, un courrier de 💩 ne s’excusant même pas que j’ai dû faire appel à qqn d’extérieur et donc ne pas avoir traité mon problème en interne, m’expliquant comment fonctionnait le tchat (merci mais depuis 2017 j’ai eu le temps de bien comprendre) et leurs conditions générales qui leur permettent de se cacher derrière des « l’obtention d’un chéquier n’est pas automatique et reste à la discrétion de la banque ». Mais vous me prenez pour une cruche ? Qu’est ce qui vous permet de me refuser un droit que j’ai en tant que cliente de commander un chéquier à mon nom surtout quand je n’en ai plus depuis plus décembre 2022 ? Et aucun dédommagement pécuniaire ni de vraies excuses? 10 mois à envoyer des mails, des relances, des demandes via le tchat, via votre webmaster, les conseillers au téléphone (dont une, qui elle a vérifié les infos et à bien confirmé qu’il y avait un problème de leur côté et que je n’étais pas devenue folle a croire qu’il m’avait envoyé un chéquier fantôme des mois auparavant, et que je n’étais jamais à découvert…)Franchement c’est honteux de traiter vos clients de la sorte, encore plus quand ce sont des clients fidèles qui sont là depuis vos débuts… Votre manque de considération me sidère.",très négatif,93.93
71,sylvie au,je mets 2 pas a cause du collaborateur…,2,26/09/2023,France,"je mets 2 pas a cause du collaborateur qui repond mais à cause de djingo qui rend difficile de vous joindre et encore pire au telephone ou ça raccroche carrémentA REVOIR, il faut qu on puisse vous joindre facilement et ce n'est pas le cas Donc 0/5 à Djingo et au telephoneet 5/5 au collaborateur pour le traitement",très négatif,82.2
72,Marylin Arndt_Gmail,Un avis global,4,29/09/2023,France,Les réponses donnees par le robot sont compactes et bien documentées. Cependant il ne prend pas en compte tous les mots.,neutre,57.99
73,didier vasseur,Service client très agréable,4,01/09/2023,France,"J'ai une bonne expérience dès le départ avec l'envoi de ma carte bancaire,suite à cela j'ai eu une conseillère au téléphone qui m'a très bien orienté et très bien aidé et j'ai très apprécié....",très positif,51.9
74,Franck Orange,Leur accueil téléphonique,4,27/09/2023,France,"Appel Téléphonique. Décroché rapide, numéro non surtaxé, conseiller efficace . Prise en charge rapide de ma demande.",très positif,55.23
75,Denver Ramin,Django ne pouvant pas régler mon…,4,30/08/2023,France,Django ne pouvant pas régler mon problème j'ai dû insister pour avoir un conseiller mais une fois celui-ci présent il m'a expliquer les démarche que j'avais à suivre très clairement,neutre,35.4
76,Renaudin,simple d utilisation,5,25/09/2023,France,"simple d utilisation, solde en temps réel, virements pratiques et règlements simples également",très positif,56.55
77,ken ange,Suite à mon portable HS,5,01/09/2023,France,"Suite à mon portable HS, le service client physique à put prendre en compte mon problème.J'ai changé d'interlocuteur et mon problème à été résolu.Je suis satisfait.",positif,49.0
79,Shepshep Du,Perfect,5,24/09/2023,France,L'appli a une interface parfaite (simple et acceuillante) et le prix est raisonnable,très positif,59.44
80,GUIGNÉ Gloria,Malgré un non découvert avant ma mise…,4,30/08/2023,France,Malgré un non découvert avant ma mise en surendettement financière le relationnel reste constructiv.Mes demandes sont prise en compte.,positif,51.7
81,Abdelkrim Bargach,Cette banque est à fuire elle est…,1,15/09/2023,France,Cette banque est à fuire elle est incapable de faire un virement banque de plus 1000€ sans créer des situations problématique….  Une fois votre argent dans cette banque vous aurait du mal à le récupérer orientez vous vers d’autre banque connu! Cela veux juste dire que vous avez pas les fond suffisant que l’argent est ailleurs… aucune banque ne pose autant de problème,très négatif,94.72
82,Caroline Riche,Merci pr le service  conseils et…,5,07/09/2023,France,Merci pr le service  conseils et empathie envers moi et je n'en doute pas envers les clients plus généralement cordialement,très positif,59.62
83,F Duf,Appli très simple d'utilisation,5,28/09/2023,France,Appli très simple d'utilisation même pour une personne âgée.,très positif,48.51
84,patricia wills,Beaucoup de difficultés pour joindre la…,5,07/09/2023,France,Beaucoup de difficultés pour joindre la bonne personne mais elle a trouvé la solution à mon problème,positif,46.2
85,Christophe,"Bonne banque, bonne appli",5,05/09/2023,France,"Rien à dire, orange bank offre tous les services d'une banque traditionnel, un léger détail, pas de conseillé juste un bot informatique qui répond plutôt bien mais limité dans ses réponses, un lien pour un conseillé réel serait bienvenue, les frais sont très raisonnable, les virements immédiats sont appréciables.",positif,57.19
86,alexio,orange bank la banque la plus nul des banques,1,13/09/2023,France,orange bank la banque la plus incompétente j ai été victime de fraude à la carte et la réponse est que c est moi qui est accepté les paiements hors à partir de 23h minuit je suis au lit et des paiements ont été fait sur mon compte avec soit disant mon accord mais la blague des qu il y a un soucis orange bank ne fait rien pour protéger les clients à fuir!!!!! n en parlons pas de django nul nul nul,très négatif,98.06
87,Mickael Berg,J’ai déposé un chèque le jeudi… 2…,1,19/09/2023,France,J’ai déposé un chèque le jeudi… 2 semaine plus tard toujours rien… j’appelle 50 fois le service client pour qu’on me dise que le chèque n’as pas encore été scanner…. Ça fait 3 ans que je suis chez orange bank et je n’ai jamais vécu de tel attentes dans d’autres banque qui sont dites « pire »,très négatif,87.62
88,Piaoling,Efficace,5,04/09/2023,France,"Efficace, il faut juste être patient et demander un expert quand le problème est un peu complexe",positif,62.6
89,Philippe patricia,C'est facile d'utilisation si nous…,4,31/08/2023,France,C'est facile d'utilisation si nous n'avons pas oublié les codes d'accès et si nous n'avons pas de question . Car la messagerie est complexe,positif,55.69
90,ProsperMM,Rassuré,4,02/09/2023,France,"Très bien conçue l'application, du job de vrais pro. !Attente client que je suis : Créer points dépôt en espèces rapidement et ce sera parfait !",très positif,70.43
91,Wirig,Cette banque ORANGE BANK Montreuil se…,1,07/10/2023,France,Cette banque ORANGE BANK Montreuil se permet d'aller faire des saisies frauduleuses de somme dans les comptes des clients de la LCL ce qui met arrivé     le 13.09.2023  300€le 14.09.2023  300€Dès lundi 14 heures une plainte sera déposé,très négatif,83.75
92,ASSURANCE BELLYSMA,impossible de les contacter par…,1,29/09/2023,France,"impossible de les contacter par téléphoneest-ce normal ?la réponse est encore mieux, puisqu'il nous est confirmé qu'il est impossible de les joindre par téléphone  sauf ""client premium"".Je pense qu'on oublie ce que c'est qu'un client",très négatif,68.14
93,Cosmin C.S.i,orangebank se *ma…,5,01/09/2023,France,orangebank se *ma préféré...l'application  et semple merci pour m'avoir aide pour debloquer le code*,très positif,55.48
94,Vivelamour,Fuyez fuyez cette banque,1,25/09/2023,France,Fuyez fuyez cette banque . Je pense que ce sont des mafieux . Depuis des mois ils ont clôturé mon compte mais pour rembourser mon solde il faut que le ciel et la terre se touche . J’ai envoyé plusieurs mails dans lesquels j’ai expliqué ma situation sur le fait de ne pas vouloir recevoir un chèque de banque . J’ai discuté avec Léa sur messenger le 19/09/23 elle m’as fait comprendre que je devrait faire une lettre manuscrite datée et signée de désistement pour un chèque . Chose faite et depuis jusqu’à aujourd’hui aucune nouvelle d’eux . J’ai l’impression qu’il faut les tirer les vers du nez . Ils ont mes 1000€ et ils ne s’empressent même pas pour régler cela et j’ai affaire à une mafia mais je me laisserais pas faire,très négatif,80.36
